Flight Number,Date,Time (UTC),Booster Version,Launch Site,Payload,Payload Mass (kg),Orbit,Customer,Mission Outcome,Landing Outcome,class,Lat,Long,
18,27-04-15,23:03:00,F9 v1.1 B1016,CCAFS LC-40,TürkmenÄlem 52°E / MonacoSAT,4707,GTO,Turkmenistan National Space Agency,Success,No attempt,0,28.56230197,-80.57735648,
19,28-06-15,14:21:00,F9 v1.1 B1018,CCAFS LC-40,SpaceX CRS-7,1952,LEO (ISS),NASA (CRS),Failure (in flight),Precluded (drone ship),1,28.56230197,-80.57735648,
20,22-12-15,1:29:00,F9 FT B1019,CCAFS LC-40,OG2 Mission 2 11 Orbcomm-OG2 satellites,2034,LEO,Orbcomm,Success,Success (ground pad),1,28.56230197,-80.57735648,
22,04-03-16,23:35:00,F9 FT B1020,CCAFS LC-40,SES-9,5271,GTO,SES,Success,Failure (drone ship),0,28.56230197,-80.57735648,
23,08-04-16,20:43:00,F9 FT B1021.1,CCAFS LC-40,SpaceX CRS-8,3136,LEO (ISS),NASA (CRS),Success,Success (drone ship),1,28.56230197,-80.57735648,
24,06-05-16,5:21:00,F9 FT B1022,CCAFS LC-40,JCSAT-14,4696,GTO,SKY Perfect JSAT Group,Success,Success (drone ship),1,28.56230197,-80.57735648,
25,27-05-16,21:39:00,F9 FT B1023.1,CCAFS LC-40,Thaicom 8,3100,GTO,Thaicom,Success,Success (drone ship),1,28.56230197,-80.57735648,
26,15-06-16,14:29:00,F9 FT B1024,CCAFS LC-40,ABS-2A Eutelsat 117 West B,3600,GTO,ABS Eutelsat,Success,Failure (drone ship),0,28.56230197,-80.57735648,
27,18-07-16,4:45:00,F9 FT B1025.1,CCAFS LC-40,SpaceX CRS-9,2257,LEO (ISS),NASA (CRS),Success,Success (ground pad),1,28.56230197,-80.57735648,
28,14-08-16,5:26:00,F9 FT B1026,CCAFS LC-40,JCSAT-16,4600,GTO,SKY Perfect JSAT Group,Success,Success (drone ship),1,28.56230197,-80.57735648,
6,29-09-13,16:00:00,F9 v1.1 B1003,VAFB SLC-4E,CASSIOPE,500,Polar LEO,MDA,Success,Uncontrolled (ocean),0,34.63283416,-120.6107455,
21,17-01-16,18:42:00,F9 v1.1 B1017,VAFB SLC-4E,Jason-3,553,LEO,NASA (LSP) NOAA CNES,Success,Failure (drone ship),0,34.63283416,-120.6107455,
29,14-01-17,17:54:00,F9 FT B1029.1,VAFB SLC-4E,Iridium NEXT 1,9600,Polar LEO,Iridium Communications,Success,Success (drone ship),1,34.63283416,-120.6107455,
37,25-06-17,20:25:00,F9 FT B1036.1,VAFB SLC-4E,Iridium NEXT 2,9600,LEO,Iridium Communications,Success,Success (drone ship),1,34.63283416,-120.6107455,
40,24-08-17,18:51:00,F9 FT B1038.1,VAFB SLC-4E,Formosat-5,475,SSO,NSPO,Success,Success (drone ship),1,34.63283416,-120.6107455,
42,09-10-17,12:37:00,F9 B4 B1041.1,VAFB SLC-4E,Iridium NEXT 3,9600,Polar LEO,Iridium Communications,Success,Success (drone ship),1,34.63283416,-120.6107455,
46,23-12-17,1:27:00,F9 FT B1036.2,VAFB SLC-4E,Iridium NEXT 4,9600,Polar LEO,Iridium Communications,Success,Controlled (ocean),0,34.63283416,-120.6107455,
49,22-02-18,14:17:00,F9 FT B1038.2,VAFB SLC-4E,Paz Tintin A & B,2150,SSO,Hisdesat exactEarth SpaceX,Success,No attempt,0,34.63283416,-120.6107455,
51,30-03-18,14:14:00,F9 B4 B1041.2,VAFB SLC-4E,Iridium NEXT 5,9600,Polar LEO,Iridium Communications,Success,No attempt,0,34.63283416,-120.6107455,
55,22-05-18,19:47:58,F9 B4 B1043.2,VAFB SLC-4E,"Iridium NEXT 6 GRACE-FO 1, 2",6460,Polar LEO,Iridium Communications GFZ • NASA,Success,No attempt,0,34.63283416,-120.6107455,
30,19-02-17,14:39:00,F9 FT B1031.1,KSC LC-39A,SpaceX CRS-10,2490,LEO (ISS),NASA (CRS),Success,Success (ground pad),1,28.57325457,-80.64689529,
31,16-03-17,6:00:00,F9 FT B1030,KSC LC-39A,EchoStar 23,5600,GTO,EchoStar,Success,No attempt,0,28.57325457,-80.64689529,
32,30-03-17,22:27:00,F9 FT B1021.2,KSC LC-39A,SES-10,5300,GTO,SES,Success,Success (drone ship),1,28.57325457,-80.64689529,
33,01-05-17,11:15:00,F9 FT B1032.1,KSC LC-39A,NROL-76,3696.65,LEO,NRO,Success,Success (ground pad),1,28.57325457,-80.64689529,
34,15-05-17,23:21:00,F9 FT B1034,KSC LC-39A,Inmarsat-5 F4,6070,GTO,Inmarsat,Success,No attempt,0,28.57325457,-80.64689529,
35,03-06-17,21:07:00,F9 FT B1035.1,KSC LC-39A,SpaceX CRS-11,2708,LEO (ISS),NASA (CRS),Success,Success (ground pad),1,28.57325457,-80.64689529,
36,23-06-17,19:10:00,F9 FT B1029.2,KSC LC-39A,BulgariaSat-1,3669,GTO,Bulsatcom,Success,Success (drone ship),1,28.57325457,-80.64689529,
38,05-07-17,23:38:00,F9 FT B1037,KSC LC-39A,Intelsat 35e,6761,GTO,Intelsat,Success,No attempt,0,28.57325457,-80.64689529,
39,14-08-17,16:31:00,F9 B4 B1039.1,KSC LC-39A,SpaceX CRS-12,3310,LEO (ISS),NASA (CRS),Success,Success (ground pad),1,28.57325457,-80.64689529,
41,07-09-17,14:00:00,F9 B4 B1040.1,KSC LC-39A,Boeing X-37B OTV-5,4990,LEO,U.S. Air Force,Success,Success (ground pad),1,28.57325457,-80.64689529,
43,11-10-17,22:53:00,F9 FT B1031.2,KSC LC-39A,SES-11 / EchoStar 105,5200,GTO,SES EchoStar,Success,Success (drone ship),1,28.57325457,-80.64689529,
44,30-10-17,19:34:00,F9 B4 B1042.1,KSC LC-39A,Koreasat 5A,3500,GTO,KT Corporation,Success,Success (drone ship),1,28.57325457,-80.64689529,
54,11-05-18,20:14:00,F9 B5 B1046.1,KSC LC-39A,Bangabandhu-1,3600,GTO,Thales-Alenia/BTRC,Success,Success (drone ship),1,28.57325457,-80.64689529,
45,15-12-17,15:36:00,F9 FT B1035.2,CCAFS SLC-40,SpaceX CRS-13,2205,LEO (ISS),NASA (CRS),Success,Success (ground pad),1,28.56319718,-80.57682003,
47,08-01-18,1:00:00,F9 B4 B1043.1,CCAFS SLC-40,Zuma,3696.65,LEO,Northrop Grumman,Success (payload status unclear),Success (ground pad),1,28.56319718,-80.57682003,
48,31-01-18,21:25:00,F9 FT B1032.2,CCAFS SLC-40,GovSat-1 / SES-16,4230,GTO,SES,Success,Controlled (ocean),0,28.56319718,-80.57682003,
50,06-03-18,5:33:00,F9 B4 B1044,CCAFS SLC-40,Hispasat 30W-6 PODSat,6092,GTO,Hispasat NovaWurks,Success,No attempt,0,28.56319718,-80.57682003,
52,02-04-18,20:30:00,F9 B4 B1039.2,CCAFS SLC-40,SpaceX CRS-14,2647,LEO (ISS),NASA (CRS),Success,No attempt,0,28.56319718,-80.57682003,
53,18-04-18,22:51:00,F9 B4 B1045.1,CCAFS SLC-40,Transiting Exoplanet Survey Satellite (TESS),362,HEO,NASA (LSP),Success,Success (drone ship),1,28.56319718,-80.57682003,
56,04-06-18,4:45:00,F9 B4 B1040.2,CCAFS SLC-40,SES-12,5384,GTO,SES,Success,No attempt,0,28.56319718,-80.57682003,
